gpsWeek	gpsTow	day	mon	year	hour	min	sec	ecef_x_m	ecef_y_m	ecef_z_m	enlem_deg	boylam_deg	irtifa_m_msl	irtifa_m_ell
2169	471908.998000	6	8	2021	11	5	8	4208114.405000	2335561.343000	4171658.289000	41.108764	29.030877	155.286000	192.667000
2169	471909.998000	6	8	2021	11	5	9	4208114.403000	2335561.299000	4171658.562000	41.108766	29.030876	155.418000	192.800000
2169	471910.998000	6	8	2021	11	5	10	4208114.368000	2335561.225000	4171658.846000	41.108769	29.030875	155.562000	192.943000
2169	471911.998000	6	8	2021	11	5	11	4208114.372000	2335561.111000	4171659.128000	41.108771	29.030875	155.694000	193.067000
2169	471912.998000	6	8	2021	11	5	12	4208114.348000	2335561.068000	4171659.486000	41.108773	29.030874	155.846000	193.228000
2169	471913.998000	6	8	2021	11	5	13	4208114.336000	2335560.968000	4171659.751000	41.108775	29.030873	155.999000	193.380000
2169	471914.998000	6	8	2021	11	5	14	4208114.391000	2335560.964000	4171659.793000	41.108776	29.030873	156.071000	193.452000
2169	471915.998000	6	8	2021	11	5	15	4208114.330000	2335560.874000	4171660.218000	41.108778	29.030872	156.292000	193.673000
2169	471916.998000	6	8	2021	11	5	16	4208114.410000	2335560.875000	4171660.398000	41.108780	29.030872	156.424000	193.796000
2169	471917.998000	6	8	2021	11	5	17	4208114.350000	2335560.824000	4171660.558000	41.108781	29.030871	156.516000	193.897000
2169	471918.998000	6	8	2021	11	5	18	4208114.421000	2335560.743000	4171660.767000	41.108783	29.030871	156.661000	194.042000
2169	471919.998000	6	8	2021	11	5	19	4208114.439000	2335560.793000	4171660.839000	41.108783	29.030870	156.736000	194.108000
2169	471920.998000	6	8	2021	11	5	20	4208114.479000	2335560.752000	4171660.844000	41.108782	29.030871	156.722000	194.094000
2169	471921.998000	6	8	2021	11	5	21	4208114.524000	2335560.904000	4171660.617000	41.108780	29.030872	156.631000	194.004000
2169	471922.998000	6	8	2021	11	5	22	4208114.553000	2335560.983000	4171660.292000	41.108778	29.030873	156.527000	193.909000
2169	471923.998000	6	8	2021	11	5	23	4208114.587000	2335561.072000	4171660.099000	41.108776	29.030873	156.451000	193.832000
2169	471924.998000	6	8	2021	11	5	24	4208114.651000	2335561.203000	4171659.954000	41.108774	29.030874	156.399000	193.780000
2169	471925.998000	6	8	2021	11	5	25	4208114.703000	2335561.208000	4171659.912000	41.108774	29.030874	156.433000	193.806000
2169	471926.998000	6	8	2021	11	5	26	4208114.720000	2335561.291000	4171659.855000	41.108773	29.030874	156.438000	193.819000
2169	471927.998000	6	8	2021	11	5	27	4208114.758000	2335561.318000	4171659.914000	41.108773	29.030874	156.508000	193.880000
2169	471928.998000	6	8	2021	11	5	28	4208114.806000	2335561.312000	4171659.845000	41.108773	29.030874	156.540000	193.912000
2169	471929.998000	6	8	2021	11	5	29	4208114.923000	2335561.313000	4171659.943000	41.108773	29.030874	156.640000	194.021000
2169	471930.998000	6	8	2021	11	5	30	4208114.963000	2335561.361000	4171660.110000	41.108773	29.030874	156.775000	194.156000
2169	471931.998000	6	8	2021	11	5	31	4208114.983000	2335561.321000	4171660.211000	41.108774	29.030873	156.883000	194.264000
2169	471932.998000	6	8	2021	11	5	32	4208115.085000	2335561.326000	4171660.423000	41.108775	29.030872	157.047000	194.428000
2169	471933.998000	6	8	2021	11	5	33	4208115.180000	2335561.229000	4171660.637000	41.108776	29.030872	157.244000	194.625000
2169	471934.998000	6	8	2021	11	5	34	4208115.266000	2335561.202000	4171660.827000	41.108777	29.030871	157.397000	194.769000
2169	471935.998000	6	8	2021	11	5	35	4208115.321000	2335561.249000	4171660.946000	41.108778	29.030870	157.553000	194.934000
2169	471936.998000	6	8	2021	11	5	36	4208115.389000	2335561.216000	4171661.126000	41.108779	29.030869	157.725000	195.107000
2169	471937.998000	6	8	2021	11	5	37	4208115.484000	2335561.187000	4171661.354000	41.108780	29.030869	157.918000	195.299000
2169	471938.998000	6	8	2021	11	5	38	4208115.584000	2335561.119000	4171661.535000	41.108780	29.030868	158.079000	195.460000
2169	471939.998000	6	8	2021	11	5	39	4208115.650000	2335561.046000	4171661.687000	41.108781	29.030867	158.230000	195.611000
2169	471940.998000	6	8	2021	11	5	40	4208115.714000	2335561.040000	4171661.814000	41.108782	29.030866	158.322000	195.703000
2169	471941.998000	6	8	2021	11	5	41	4208115.885000	2335560.968000	4171661.976000	41.108782	29.030865	158.473000	195.854000
2169	471942.998000	6	8	2021	11	5	42	4208115.973000	2335560.978000	4171662.117000	41.108783	29.030864	158.609000	195.990000
2169	471943.998000	6	8	2021	11	5	43	4208115.966000	2335560.931000	4171662.267000	41.108784	29.030863	158.737000	196.118000
2169	471944.998000	6	8	2021	11	5	44	4208116.113000	2335560.851000	4171662.453000	41.108785	29.030862	158.864000	196.245000
2169	471945.998000	6	8	2021	11	5	45	4208116.137000	2335560.811000	4171662.572000	41.108785	29.030861	158.979000	196.360000
2169	471946.998000	6	8	2021	11	5	46	4208116.216000	2335560.766000	4171662.683000	41.108786	29.030861	159.091000	196.463000
2169	471947.998000	6	8	2021	11	5	47	4208116.327000	2335560.722000	4171662.730000	41.108786	29.030860	159.203000	196.584000
2169	471948.998000	6	8	2021	11	5	48	4208116.346000	2335560.681000	4171662.885000	41.108787	29.030859	159.298000	196.679000
2169	471949.998000	6	8	2021	11	5	49	4208116.360000	2335560.703000	4171662.938000	41.108787	29.030858	159.368000	196.749000
2169	471950.998000	6	8	2021	11	5	50	4208116.456000	2335560.602000	4171663.058000	41.108788	29.030857	159.460000	196.841000
2169	471951.998000	6	8	2021	11	5	51	4208116.532000	2335560.534000	4171663.249000	41.108789	29.030857	159.588000	196.969000
2169	471952.998000	6	8	2021	11	5	52	4208116.550000	2335560.511000	4171663.425000	41.108790	29.030856	159.704000	197.085000
2169	471953.998000	6	8	2021	11	5	53	4208116.633000	2335560.418000	4171663.586000	41.108791	29.030855	159.860000	197.232000
2169	471954.998000	6	8	2021	11	5	54	4208116.704000	2335560.414000	4171663.711000	41.108792	29.030854	160.018000	197.390000
2169	471955.998000	6	8	2021	11	5	55	4208116.771000	2335560.397000	4171663.916000	41.108793	29.030853	160.154000	197.535000
2169	471956.998000	6	8	2021	11	5	56	4208116.843000	2335560.329000	4171664.065000	41.108794	29.030852	160.267000	197.648000
2169	471957.998000	6	8	2021	11	5	57	4208116.879000	2335560.244000	4171664.272000	41.108795	29.030851	160.404000	197.785000
2169	471958.998000	6	8	2021	11	5	58	4208116.905000	2335560.160000	4171664.412000	41.108796	29.030850	160.526000	197.898000
2169	471959.998000	6	8	2021	11	5	59	4208116.983000	2335560.116000	4171664.632000	41.108797	29.030849	160.690000	198.071000
2169	471960.998000	6	8	2021	11	6	0	4208117.056000	2335560.065000	4171664.793000	41.108798	29.030848	160.775000	198.156000
2169	471961.998000	6	8	2021	11	6	1	4208117.128000	2335560.018000	4171664.907000	41.108799	29.030847	160.890000	198.262000
2169	471962.998000	6	8	2021	11	6	2	4208117.163000	2335559.983000	4171664.967000	41.108799	29.030847	160.973000	198.345000
2169	471963.998000	6	8	2021	11	6	3	4208117.240000	2335559.988000	4171665.046000	41.108799	29.030846	161.019000	198.400000
2169	471964.998000	6	8	2021	11	6	4	4208117.273000	2335559.978000	4171664.987000	41.108799	29.030846	161.037000	198.418000
2169	471965.998000	6	8	2021	11	6	5	4208117.267000	2335560.053000	4171664.977000	41.108798	29.030846	161.047000	198.428000
2169	471966.998000	6	8	2021	11	6	6	4208117.285000	2335560.098000	4171664.883000	41.108797	29.030847	160.991000	198.372000
2169	471967.998000	6	8	2021	11	6	7	4208117.363000	2335560.097000	4171664.636000	41.108795	29.030847	160.892000	198.273000
2169	471968.998000	6	8	2021	11	6	8	4208117.309000	2335560.188000	4171664.365000	41.108794	29.030848	160.765000	198.146000
2169	471969.998000	6	8	2021	11	6	9	4208117.349000	2335560.285000	4171664.300000	41.108792	29.030848	160.721000	198.102000
2169	471970.998000	6	8	2021	11	6	10	4208117.452000	2335560.313000	4171664.086000	41.108791	29.030849	160.660000	198.041000
2169	471971.998000	6	8	2021	11	6	11	4208117.387000	2335560.435000	4171663.957000	41.108789	29.030850	160.586000	197.967000
2169	471972.998000	6	8	2021	11	6	12	4208117.463000	2335560.491000	4171663.852000	41.108789	29.030850	160.558000	197.939000
2169	471973.998000	6	8	2021	11	6	13	4208117.487000	2335560.492000	4171663.694000	41.108787	29.030851	160.498000	197.879000
2169	471974.998000	6	8	2021	11	6	14	4208117.512000	2335560.545000	4171663.667000	41.108787	29.030851	160.484000	197.865000
2169	471975.998000	6	8	2021	11	6	15	4208117.523000	2335560.635000	4171663.563000	41.108786	29.030851	160.455000	197.827000
2169	471976.998000	6	8	2021	11	6	16	4208117.496000	2335560.639000	4171663.442000	41.108785	29.030851	160.404000	197.786000
2169	471977.998000	6	8	2021	11	6	17	4208117.474000	2335560.640000	4171663.310000	41.108784	29.030852	160.338000	197.719000
2169	471978.998000	6	8	2021	11	6	18	4208117.535000	2335560.693000	4171663.153000	41.108783	29.030852	160.263000	197.644000
2169	471979.998000	6	8	2021	11	6	19	4208117.496000	2335560.743000	4171663.187000	41.108783	29.030853	160.243000	197.624000
2169	471980.998000	6	8	2021	11	6	20	4208117.503000	2335560.742000	4171663.134000	41.108783	29.030853	160.266000	197.647000
2169	471981.998000	6	8	2021	11	6	21	4208117.545000	2335560.767000	4171663.140000	41.108783	29.030853	160.285000	197.666000
2169	471982.998000	6	8	2021	11	6	22	4208117.537000	2335560.832000	4171663.231000	41.108783	29.030853	160.327000	197.699000
